device_code	capacity_kw	guarantee	Warranty
SKK 2.00	900	0.95	0.9
SKK 3.00	900	0.95	0.9
SKK 5.00	2400	0.95	0.9
SKK 6.00	2400	0.95	0.9
SKK048.A	3000	0.911631667	0.8616
SKK 23.00	1800	0.95	0.9
SKK 28.00	300	0.999	0.9
SKK 29.00	300	0.999	0.9
SKK 54.00	300	0.999	0.999
KMP000.A	3000	0.8927	0.8427
KMP000.B	3000	0.8927	0.8427
SKK013.A	2400	0.9043	0.854
SKK013.B	1800	0.9043	0.854
SKK025.A	2400	0.912	0.862
SKK025.B	1800	0.912	0.862
SKK014.A	2700	0.92	0.87
SKK014.B	2700	0.92	0.87
SKK014.C	2700	0.92	0.87
KSE000.A	2400	0.94	0.87
KSE000.B	2700	0.94	0.87
KSE000.C	3250	0.94	0.87
SKK032.A	3000	0.929880952	0.8799
SKK032.B	2700	0.929880952	0.8799
SKK032.C	2700	0.929880952	0.8799
SKK047.A	2700	0.93	0.88
SKK047.B	2700	0.93	0.88
SKK047.C	2700	0.93	0.88
SKK056.A	2640	0.95	0.9
SKK056.B	3300	0.95	0.9
SKK056.C	2970	0.95	0.9
SKK015.A	2400	0.923565657	0.8736
SKK015.B	2400	0.923565657	0.8736
SKK015.C	2400	0.923565657	0.8736
SKK015.D	2700	0.923565657	0.8736
SKK026.A	3000	0.9304	0.8804
SKK026.B	3000	0.9304	0.8804
SKK026.C	1800	0.9304	0.8804
SKK026.D	1800	0.9304	0.8804
SKK027.A	2400	0.9295	0.8795
SKK027.B	2400	0.9295	0.8795
SKK027.C	2400	0.9295	0.8795
SKK027.D	2400	0.9295	0.8795
SKK011.A	3000	0.9113	0.8613
SKK011.B	3000	0.9113	0.8613
SKK011.C	3000	0.9113	0.8613
SKK011.D	3000	0.9113	0.8613
SKK011.E	3000	0.9113	0.8613
SKK012.A	3000	0.914	0.864
SKK012.B	3000	0.914	0.864
SKK012.C	3000	0.914	0.864
SKK012.D	3000	0.914	0.864
SKK012.E	3000	0.914	0.864
SKK020.A	3000	0.9132	0.8632
SKK020.B	3000	0.9132	0.8632
SKK020.C	3000	0.9132	0.8632
SKK020.D	3000	0.9132	0.8632
SKK020.E	3000	0.9132	0.8632
SKK021.A	3000	0.920633333	0.8
SKK021.B	3000	0.920633333	0.8
SKK021.C	3000	0.920633333	0.8
SKK021.D	3000	0.920633333	0.8
SKK021.E	3000	0.920633333	0.8
SKK031.A	3000	0.93	0.88
SKK031.B	3000	0.93	0.88
SKK031.C	3000	0.93	0.88
SKK031.D	3000	0.93	0.88
SKK031.E	3000	0.93	0.88
SKK050.A	3000	0.9306	0.8
SKK050.B	3000	0.9306	0.8
SKK050.C	3000	0.9306	0.8
SKK050.D	3000	0.9306	0.8
SKK050.E	3000	0.9306	0.8
SKK000.A	2700	0.95	0.9
SKK000.B	3000	0.95	0.9
SKK000.C	3000	0.95	0.9
SKK000.D	3000	0.95	0.9
SKK000.E	2700	0.95	0.9
SKK000.F	2700	0.95	0.9
SKK000.G	2700	0.95	0.9
SKK009.A	3000	0.95	0.9
SKK009.B	3000	0.95	0.9
SKK009.C	1800	0.95	0.9
SKK009.D	3000	0.95	0.9
SKK009.E	3000	0.95	0.9
SKK009.F	3000	0.95	0.9
SKK009.G	3000	0.95	0.9
SKK010.A	3000	0.95	0.9
SKK010.B	3000	0.95	0.9
SKK010.C	3000	0.95	0.9
SKK010.D	3000	0.95	0.9
SKK010.E	3000	0.95	0.9
SKK010.F	3000	0.95	0.9
SKK010.G	1800	0.95	0.9
SKK017.A	1800	0.95	0.9
SKK017.B	3000	0.95	0.9
SKK017.C	3000	0.95	0.9
SKK017.D	3000	0.95	0.9
SKK017.E	3000	0.95	0.9
SKK017.F	3000	0.95	0.9
SKK017.G	3000	0.95	0.9
SKK018.A	1800	0.95	0.9
SKK018.B	3000	0.95	0.9
SKK018.C	3000	0.95	0.9
SKK018.D	3000	0.95	0.9
SKK018.E	3000	0.95	0.9
SKK018.F	3000	0.95	0.9
SKK018.G	3000	0.95	0.9
SKK046.A	3000	0.95	0.9
SKK046.B	3000	0.95	0.9
SKK046.C	3000	0.95	0.9
SKK046.D	3000	0.95	0.9
SKK046.E	3000	0.95	0.9
SKK046.F	3000	0.95	0.9
SKK046.G	1800	0.95	0.9
SKK051.A	3000	0.95	0.9
SKK051.B	2400	0.95	0.9
SKK051.C	3000	0.95	0.9
SKK051.D	3000	0.95	0.9
SKK051.E	3000	0.95	0.9
SKK051.F	3000	0.95	0.9
SKK051.G	2400	0.95	0.9
SKK053.A	3000	0.95	0.9
SKK053.B	3000	0.95	0.9
SKK053.C	3000	0.95	0.9
SKK053.D	3000	0.95	0.9
SKK053.E	3000	0.95	0.9
SKK053.F	3000	0.95	0.9
SKK053.G	1800	0.95	0.9
SKK049.A	3000	0.95	0.9
SKK049.B	3000	0.95	0.9
SKK049.C	3000	0.95	0.9
SKK049.D	3000	0.95	0.9
SKK049.E	3000	0.95	0.9
SKK049.F	2700	0.95	0.9
SKK049.G	2700	0.95	0.9
SKK049.H	3000	0.95	0.9
SKK049.J	3000	0.95	0.9
SKK049.K	3000	0.95	0.9
SKK135.A	3300	0.999	0.9
SKK135.B	3300	0.999	0.9
SKK135.C	3300	0.999	0.9
SKK135.D	3300	0.999	0.9
SKK135.E	3300	0.999	0.9
SKK135.F	3300	0.999	0.9
SKK 145.00	2400	0.95	0.9
SKK 146.00	2400	0.95	0.9
SKK 147.00	2400	0.95	0.9
SKK 150.00	2400	0.95	0.9
SKK 151.00	2400	0.95	0.9
SKK 143.00	2400	0.95	0.9
SKK 101.00	330	0.999	0.9
SKK135.A	3300	0.999	0.9
SKK135.B	3300	0.999	0.9
SKK135.C	3300	0.999	0.9
SKK135.D	3300	0.999	0.9
SKK135.E	3300	0.999	0.9
SKK135.F	3300	0.999	0.9
SKK136.A	3300	0.999	0.9
SKK136.B	3300	0.999	0.9
SKK136.C	3300	0.999	0.9
SKK136.D	3300	0.999	0.9
SKK136.E	3300	0.999	0.9
SKK136.F	3300	0.999	0.9
SKK144.A	3300	0.95	0.9
SKK144.B	3300	0.95	0.9
SKK144.C	3300	0.95	0.9
SKK144.D	3300	0.95	0.9
SKK144.E	3300	0.95	0.9
SKK144.F	3300	0.95	0.9
SKK057.A	3000	0.95	0.9
SKK057.B	3000	0.95	0.9
SKK057.C	3000	0.95	0.9
SKK057.D	3000	0.95	0.9
SKK057.E	3000	0.95	0.9
SKK057.F	2400	0.95	0.9
SKK057.G	2400	0.95	0.9
YCH000.0	200	0.95	0.9
FJF000.0	250	0.95	0.9
DKK 0.00	250	0.95	0.9
POR000.0	250	0.95	0.9
OSK00	1200	0.95	0.9
KEI00	200	0.95	0.9
SKK167.A	3300	0.95	0.9
SKK167.B	3300	0.95	0.9
SKK167.C	3300	0.95	0.9
SKK167.D	3300	0.95	0.9
SKK167.E	3300	0.95	0.9
SKK167.F	3300	0.95	0.9
SKK167.G	3300	0.95	0.9
SKK167.H	3300	0.95	0.9
SKK167.J	3300	0.95	0.9
SKK167.K	3300	0.95	0.9
SKK167.L	3300	0.95	0.9
SKK167.M	3300	0.95	0.9
SKK 142.00	330	0.95	0.9
SKK168.A	3300	0.95	0.9
SKK168.B	3300	0.95	0.9
SKK168.C	3300	0.95	0.9
SKK168.D	3300	0.95	0.9
SKK168.E	3300	0.95	0.9
SKK168.F	3300	0.95	0.9
SKK168.G	3300	0.95	0.9
SKK168.H	3300	0.95	0.9
SKK168.J	3300	0.95	0.9
SKK168.K	3300	0.95	0.9
SKK168.L	3300	0.95	0.9
SKK168.M	3300	0.95	0.9
SKK137.A	3300	0.95	0.9
SKK137.B	3300	0.95	0.9
SKK137.C	3300	0.95	0.9
SKK139.A	3300	0.999	0.9
SKK139.B	3300	0.999	0.9
SKK139.C	2970	0.999	0.9
UMR000.0	925	0.95	0.9
UMR001.0	900	0.95	0.9
UMR002.0	1300	0.95	0.9
PRT001.0	650	0.95	0.9
UMR003.0	975	0.95	0.9
UMR004.0	1950	0.95	0.9
